obj_id,class_id,class_name,x,y,z,isAlive
0,2,box,5.081846161479565,2.95276009922691,0.28763959561964425,False
1,2,box,2.7055303075171264,2.953361635257989,0.6989432157138349,False
0,12,rack,4.115937202803077,-0.9516947345327915,1.62180910879251,False
2,2,box,2.8880242963168525,0.5957732927625009,1.5684896070195111,False
3,2,box,2.945526087210973,0.6109371342738442,0.9240510622442505,False
4,2,box,5.153039961988136,2.9519825706997493,1.1387005082619872,False
1,12,rack,3.3466380105003983,0.49085398584337847,1.3891381454570921,False
5,2,box,2.6420390114554255,2.953030346862855,1.2983775886709825,False
6,2,box,2.9600791528891675,0.6160930755454714,2.289951960391836,False
7,2,box,4.024748667046549,-0.9800097336452718,1.0072152075700247,False
0,9,fire extinguisher,2.4104931503648204,0.3315525551173175,0.27110692561609673,False
2,12,rack,4.860234133847732,-0.974103833181057,1.7498430512697416,False
8,2,box,3.358479599892818,2.947579653592345,0.8043645048009712,False
9,2,box,3.6742641564162346,2.9748430174615734,0.3020287885402473,False
10,2,box,5.761310048925486,3.216134958920455,1.5809663520841617,False
4,12,rack,4.811638877202045,0.880991822890067,1.0434549561828255,False
11,2,box,3.477321106390467,3.493343827876352,0.2087072426548987,True
