obj_id,class_id,class_name,x,y,z,isAlive,x_depth,y_depth,z_depth
15,5,chair,1.9629648583418426,-0.03781096797643557,0.44842452643629893,False,-0.9813094681372004,-0.3759650382766314,1.2940338850021362
1,1,bed,10.185958680121917,-21.895684966556907,0.47835508337204274,False,-1.991318182279705,-0.43826648324915224,2.804335355758667
0,14,sofa,-9.494355857119084,-28.987800536244688,0.4077354155257113,False,1.0705370438096502,-0.3664641632448129,2.75109601020813
2,2,box,-9.61988066289541,-30.208562056870292,0.1710407953419795,False,-0.011567863341882714,-0.10411077007694443,1.5755531787872314
3,2,box,-10.132021835890228,-29.824728312731747,0.20674557347457165,False,0.018646392896149742,-0.14069551003458441,1.6161441802978516
3,14,sofa,-11.473250518623258,-30.469360448819153,0.3937022209648332,False,-1.2688372445827334,-0.3437980058421051,2.358123302459717
5,14,sofa,-11.058872856016169,-29.56736901127221,0.42217213041744417,False,-1.2667027271601832,-0.36804375138522255,2.15273118019104
6,14,sofa,-9.325836607669354,-28.44776023283482,0.3342853765999619,False,-0.43986134543423866,-0.24848828114750413,0.7071948051452637
0,6,cupboard,-9.285809156349554,-24.797978903814776,1.0433466952868853,False,0.3671272041752266,-1.0004916938210373,2.6719186305999756
2,6,cupboard,-8.783914586416675,-24.829136659226386,1.0319855766852108,False,-1.2511835808170173,-0.9811786462283738,2.298431873321533
2,1,bed,-7.330996721094487,-22.423404042609242,0.25200051581859106,False,-1.5480232946698664,-0.20107344829045212,2.309694766998291
3,1,bed,-6.593291366517525,-22.254472087886914,0.19374491290857523,False,-0.7137471345964648,-0.11645954861751688,1.0993391275405884
16,5,chair,-4.694315695638708,5.759035891043901,0.40339384336761175,False,-1.2217161853274208,-0.3674570531704581,2.994323253631592
11,1,bed,-10.726798595250287,9.465703004703846,0.5449994602649737,False,-0.6186621947306974,-0.5035622515249862,2.743424892425537
12,1,bed,-8.972851507971264,10.696496394097545,0.22493435829719421,False,0.442599472076502,-0.1367126719107954,0.5951721668243408
24,5,chair,-4.841546308037058,8.652883865979533,0.38266224228840207,False,2.0441972145320335,-0.34216176552252925,2.7881977558135986
4,2,box,9.99446852920882,14.479048887555455,0.43502771042960003,False,0.5122026198539883,-0.35842354229967305,1.127799391746521
5,2,box,10.235021319471821,15.055771384929667,0.5988962355457186,False,-0.7406115998326183,-0.5266262595432689,1.3247723579406738
1,15,stopcone,-1.650748629083084,14.552334489881275,0.5988249935139658,False,1.1784867482982835,-0.5585383844292113,2.7880311012268066
10,10,fire extinguisher,5.677990747637654,13.10728109881384,0.20415717017646506,False,0.6499542623971633,-0.1372676940940574,1.576769471168518

